County Code,District Code,Subgroup ID,Grade,Test Id,CAASPP Reported Enrollment,Students Tested,Mean Scale Score,Percentage Standard Exceeded,Percentage Standard Met,Percentage Standard Met and Above,Percentage Standard Nearly Met,Percentage Standard Not Met,Students with Scores
1,61127,144,3,1,38.0,37.0,2489.1,56.76,27.03,83.78,5.41,10.81,37.0
1,61127,144,4,2,53.0,52.0,2533.8,53.85,19.23,73.08,19.23,7.69,52.0
1,61127,144,4,1,53.0,52.0,2526.0,50.98,25.49,76.47,9.8,13.73,51.0
1,61127,144,5,2,35.0,34.0,2550.5,41.18,26.47,67.65,17.65,14.71,34.0
1,61127,144,5,1,35.0,34.0,2543.8,35.29,38.24,73.53,17.65,8.82,34.0
1,61127,144,6,2,47.0,47.0,2561.7,40.43,14.89,55.32,21.28,23.4,47.0
1,61127,144,6,1,47.0,47.0,2571.6,34.04,31.91,65.96,19.15,14.89,47.0
1,61127,144,7,1,39.0,39.0,2623.3,38.46,46.15,84.62,10.26,5.13,39.0
1,61127,144,7,2,39.0,39.0,2615.3,48.72,28.21,76.92,15.38,7.69,39.0
1,61127,144,8,1,31.0,31.0,2626.2,29.03,58.06,87.1,9.68,3.23,31.0
1,61127,144,8,2,31.0,31.0,2631.8,51.61,16.13,67.74,16.13,16.13,31.0
1,61127,144,11,1,34.0,33.0,2682.1,57.58,27.27,84.85,12.12,3.03,33.0
1,61127,144,11,2,34.0,31.0,2696.7,48.39,22.58,70.97,22.58,6.45,31.0
1,61143,74,3,2,131.0,128.0,2387.2,3.91,25.78,29.69,25.78,44.53,128.0
1,61143,74,3,1,131.0,127.0,2365.7,3.94,18.9,22.83,29.13,48.03,127.0
1,61143,74,4,1,92.0,90.0,2406.4,4.44,13.33,17.78,28.89,53.33,90.0
1,61143,74,4,2,92.0,90.0,2412.7,5.56,14.44,20.0,26.67,53.33,90.0
1,61143,74,5,1,133.0,125.0,2431.9,6.4,13.6,20.0,23.2,56.8,125.0
1,61143,74,5,2,133.0,125.0,2437.8,4.8,8.0,12.8,29.6,57.6,125.0
1,61143,74,6,2,108.0,104.0,2438.5,3.85,11.54,15.38,21.15,63.46,104.0
1,61143,74,6,1,108.0,101.0,2450.6,2.0,17.0,19.0,28.0,53.0,100.0
1,61143,74,7,2,108.0,97.0,2478.7,7.29,16.67,23.96,23.96,52.08,96.0
1,61143,74,7,1,108.0,98.0,2485.4,6.19,22.68,28.87,24.74,46.39,97.0
1,61143,74,8,2,110.0,100.0,2486.0,6.0,13.0,19.0,25.0,56.0,100.0
1,61143,74,8,1,110.0,101.0,2493.9,4.95,18.81,23.76,29.7,46.53,101.0
1,61143,74,11,1,135.0,90.0,2502.9,5.81,15.12,20.93,31.4,47.67,86.0
1,61143,74,11,2,135.0,85.0,2472.2,1.18,3.53,4.71,21.18,74.12,85.0
1,61143,78,3,1,172.0,165.0,2413.3,21.21,19.39,40.61,28.48,30.91,165.0
1,61143,78,3,2,172.0,165.0,2437.0,21.82,27.27,49.09,30.91,20.0,165.0
1,61143,78,4,1,184.0,182.0,2448.7,19.78,19.78,39.56,22.53,37.91,182.0
1,61143,78,4,2,184.0,182.0,2455.9,11.54,24.18,35.71,34.07,30.22,182.0
1,61143,78,5,1,147.0,141.0,2483.1,20.71,27.14,47.86,14.29,37.86,140.0
1,61143,78,5,2,147.0,143.0,2487.2,14.69,21.68,36.36,24.48,39.16,143.0
1,61143,78,6,2,139.0,134.0,2526.7,17.16,24.63,41.79,33.58,24.63,134.0
1,61143,78,6,1,139.0,136.0,2516.4,15.67,28.36,44.03,32.09,23.88,134.0
1,61143,78,7,2,128.0,119.0,2537.8,21.85,16.81,38.66,31.09,30.25,119.0
1,61143,78,7,1,128.0,118.0,2550.1,17.8,33.9,51.69,22.88,25.42,118.0
1,61143,78,8,1,182.0,174.0,2559.0,14.53,31.98,46.51,28.49,25.0,172.0
1,61143,78,8,2,182.0,173.0,2562.5,20.81,24.86,45.66,23.12,31.21,173.0
1,61143,78,11,2,180.0,129.0,2529.6,9.3,9.3,18.6,24.81,56.59,129.0
1,61143,78,11,1,180.0,145.0,2537.0,8.33,29.86,38.19,27.08,34.72,144.0
1,61143,80,3,2,306.0,282.0,2508.5,55.32,31.56,86.88,9.22,3.9,282.0
1,61143,80,3,1,306.0,280.0,2498.0,55.71,26.79,82.5,12.86,4.64,280.0
1,61143,80,4,1,291.0,279.0,2541.7,58.78,22.94,81.72,13.62,4.66,279.0
1,61143,80,4,2,291.0,281.0,2542.5,47.69,33.1,80.78,16.01,3.2,281.0
1,61143,80,5,1,281.0,262.0,2572.3,50.0,31.3,81.3,11.83,6.87,262.0
1,61143,80,5,2,281.0,264.0,2580.7,58.71,19.32,78.03,14.02,7.95,264.0
1,61143,80,6,2,278.0,267.0,2611.5,53.93,28.46,82.4,13.11,4.49,267.0
1,61143,80,6,1,278.0,266.0,2598.5,46.62,36.09,82.71,11.28,6.02,266.0
1,61143,80,7,1,297.0,278.0,2632.4,47.83,38.77,86.59,8.33,5.07,276.0
1,61143,80,7,2,297.0,281.0,2630.1,54.84,28.32,83.15,8.6,8.24,279.0
1,61143,80,8,2,277.0,258.0,2652.4,55.04,25.19,80.23,13.57,6.2,258.0
1,61143,80,8,1,277.0,254.0,2642.6,46.64,35.57,82.21,11.07,6.72,253.0
1,61143,80,11,2,302.0,213.0,2662.1,38.03,26.76,64.79,18.78,16.43,213.0
1,61143,80,11,1,302.0,233.0,2656.7,50.65,27.27,77.92,11.26,10.82,231.0
1,61143,144,3,1,107.0,101.0,2472.1,50.5,22.77,73.27,13.86,12.87,101.0
1,61143,144,3,2,107.0,101.0,2482.2,43.56,31.68,75.25,12.87,11.88,101.0
1,61143,144,4,2,103.0,100.0,2521.5,41.0,32.0,73.0,19.0,8.0,100.0
1,61143,144,4,1,103.0,100.0,2519.3,49.0,26.0,75.0,11.0,14.0,100.0
1,61143,144,5,1,121.0,119.0,2542.0,39.5,28.57,68.07,13.45,18.49,119.0
1,61143,144,5,2,121.0,119.0,2538.4,40.34,24.37,64.71,15.13,20.17,119.0
1,61143,144,6,2,123.0,115.0,2579.1,36.52,31.3,67.83,20.0,12.17,115.0
1,61143,144,6,1,123.0,116.0,2577.9,40.52,33.62,74.14,15.52,10.34,116.0
1,61143,144,7,2,99.0,91.0,2571.4,30.77,18.68,49.45,28.57,21.98,91.0
1,61143,144,7,1,99.0,93.0,2595.7,37.36,34.07,71.43,10.99,17.58,91.0
1,61143,144,8,1,82.0,80.0,2603.9,26.25,48.75,75.0,11.25,13.75,80.0
1,61143,144,8,2,82.0,80.0,2615.0,46.25,23.75,70.0,12.5,17.5,80.0
1,61143,144,11,2,86.0,65.0,2630.1,26.56,21.88,48.44,28.13,23.44,64.0
1,61143,144,11,1,86.0,70.0,2650.2,50.0,30.0,80.0,7.14,12.86,70.0
1,61150,74,3,1,31.0,30.0,2424.1,20.0,23.33,43.33,40.0,16.67,30.0
1,61150,74,3,2,31.0,30.0,2427.3,16.67,40.0,56.67,20.0,23.33,30.0
1,61150,74,4,2,26.0,24.0,2498.8,29.17,25.0,54.17,33.33,12.5,24.0
