,District Code,Agency Name,Black,Hispanic,White,Asian or Pacific Islander,American Indian/Alaska Native,Hawaiian Native/Pacific Islander,Two or More Races,Total Enrollment,Total Revenue,Revenue per student
67,64311,BEVERLY HILLS UNIFIED,111.0,319.0,2923.0,499.0,8.0,10.0,153.0,4023.0,34713000.0,8628.64
68,62026,BIG CREEK ELEMENTARY,0.0,15.0,39.0,0.0,0.0,0.0,1.0,55.0,630000.0,11454.55
69,62695,BIG LAGOON UNION ELEMENTARY,0.0,4.0,8.0,0.0,4.0,0.0,2.0,18.0,414000.0,23000.0
70,75184,BIG OAK FLAT-GROVELAND UNIFIED,5.0,48.0,236.0,3.0,4.0,0.0,6.0,302.0,1603000.0,5307.95
71,63248,BIG PINE UNIFIED,0.0,36.0,40.0,1.0,76.0,1.0,17.0,171.0,1650000.0,9649.12
72,70185,BIG SPRINGS UNION ELEMENTARY,1.0,34.0,121.0,5.0,3.0,0.0,15.0,179.0,1815000.0,10139.66
73,75150,BIG SUR UNIFIED,0.0,26.0,67.0,2.0,0.0,1.0,13.0,109.0,1551000.0,14229.36
74,64089,BIG VALLEY JOINT UNIFIED,0.0,21.0,118.0,0.0,8.0,0.0,0.0,147.0,1595000.0,10850.34
75,61408,BIGGS UNIFIED,13.0,231.0,348.0,13.0,5.0,2.0,5.0,617.0,6067000.0,9833.06
76,76687,BISHOP UNIFIED,9.0,714.0,734.0,23.0,279.0,0.0,131.0,1890.0,11530000.0,6100.53
77,67454,BITTERWATER-TULLY ELEMENTARY,0.0,11.0,21.0,0.0,0.0,0.0,0.0,32.0,359000.0,11218.75
78,69880,BLACK BUTTE UNION ELEMENTARY,2.0,22.0,162.0,2.0,12.0,2.0,11.0,213.0,1489000.0,6990.61
79,73783,BLACK OAK MINE UNIFIED,6.0,118.0,1067.0,11.0,29.0,0.0,22.0,1253.0,9424000.0,7521.15
80,63354,BLAKE ELEMENTARY,0.0,4.0,7.0,0.0,0.0,0.0,0.0,11.0,215000.0,19545.45
81,69112,BLOCHMAN UNION ELEMENTARY,15.0,326.0,814.0,18.0,8.0,5.0,91.0,1277.0,2426000.0,1899.77
