Agency Name,State Name [District] Latest available year,Grade 6 Students - American Indian/Alaska Native [District] 2016-17,Grade 6 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 6 Students - Hispanic [District] 2016-17,Grade 6 Students - Black [District] 2016-17,Grade 6 Students - White [District] 2016-17,Grade 6 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 6 Students - Two or More Races [District] 2016-17,Grade 7 Students - American Indian/Alaska Native [District] 2016-17,Grade 7 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 7 Students - Hispanic [District] 2016-17,Grade 7 Students - Black [District] 2016-17,Grade 7 Students - White [District] 2016-17,Grade 7 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 7 Students - Two or More Races [District] 2016-17,Grade 8 Students - American Indian/Alaska Native [District] 2016-17,Grade 8 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 8 Students - Hispanic [District] 2016-17,Grade 8 Students - Black [District] 2016-17,Grade 8 Students - White [District] 2016-17,Grade 8 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 8 Students - Two or More Races [District] 2016-17,Grade 9 Students - American Indian/Alaska Native [District] 2016-17,Grade 9 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 9 Students - Hispanic [District] 2016-17,Grade 9 Students - Black [District] 2016-17,Grade 9 Students - White [District] 2016-17,Grade 9 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 9 Students - Two or More Races [District] 2016-17
LAWNDALE ELEMENTARY,California,1,32,463,59,21,4,22,3,33,515,61,23,9,15,–,35,497,62,19,3,12,–,7,112,11,5,–,1
LAYTONVILLE UNIFIED,California,7,–,6,–,20,–,5,2,–,5,–,19,–,6,3,–,4,–,16,–,1,4,–,4,1,24,–,–
LE GRAND UNION ELEMENTARY,California,–,–,42,–,4,–,–,–,1,43,–,2,–,2,–,–,42,–,4,–,–,†,†,†,†,†,†,†
LE GRAND UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,4,–,124,3,11,–,2
LEGGETT VALLEY UNIFIED,California,1,–,1,1,12,–,–,–,–,1,–,5,–,–,–,–,1,–,6,1,–,1,–,1,–,9,–,–
LEMON GROVE,California,4,28,250,65,30,3,16,5,34,277,68,41,5,21,3,20,245,72,46,2,21,†,†,†,†,†,†,†
LEMOORE UNION ELEMENTARY,California,1,18,248,18,54,1,13,3,18,227,23,69,–,17,3,12,254,19,78,2,14,†,†,†,†,†,†,†
LEMOORE UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,13,35,309,30,132,5,10
LENNOX,California,–,1,658,64,2,5,32,–,3,618,84,3,2,36,2,4,616,96,5,4,26,–,1,312,4,–,–,11
LEWISTON ELEMENTARY,California,–,1,1,–,7,–,–,–,–,1,–,5,–,–,–,–,3,–,2,–,–,†,†,†,†,†,†,†
LIBERTY ELEMENTARY,California,–,4,15,4,53,–,14,1,3,14,8,30,1,5,2,1,15,13,38,1,6,1,5,11,7,30,–,13
LIBERTY ELEMENTARY,California,2,–,22,1,15,–,1,–,–,22,–,11,–,1,–,1,24,2,12,–,2,†,†,†,†,†,†,†
LIBERTY UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,15,200,682,183,832,12,74
LINCOLN ELEMENTARY,California,–,–,1,–,–,–,–,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
LINCOLN UNIFIED,California,11,97,333,89,160,7,40,5,85,343,112,175,5,24,5,114,331,77,200,11,19,4,124,372,102,194,8,14
LINDEN UNIFIED,California,7,6,107,–,64,–,2,3,7,118,1,51,–,1,2,4,107,3,43,–,4,1,7,101,–,57,–,1
LINDSAY UNIFIED,California,1,7,301,–,14,–,1,–,11,303,1,7,–,1,1,5,323,2,13,–,–,–,8,271,1,12,–,2
LINNS VALLEY-POSO FLAT UNION,California,–,–,–,–,1,–,–,–,–,–,–,3,–,–,–,–,1,–,2,–,–,†,†,†,†,†,†,†
LITTLE LAKE CITY ELEMENTARY,California,1,14,376,11,24,1,4,1,7,483,12,22,2,2,1,11,463,8,28,2,3,†,†,†,†,†,†,†
LITTLE SHASTA ELEMENTARY,California,1,–,–,–,–,–,–,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
LIVE OAK ELEMENTARY,California,1,14,122,6,57,1,7,2,6,127,6,70,–,–,2,7,125,9,64,2,2,1,1,8,–,17,–,1
LIVE OAK UNIFIED,California,1,18,96,–,37,1,–,2,20,76,1,30,–,1,–,19,80,–,32,2,1,6,21,83,1,33,1,–
LIVERMORE VALLEY JOINT UNIFIED,California,4,106,326,16,474,2,85,2,112,310,19,491,4,86,1,110,322,20,560,8,71,7,129,322,13,605,3,70
LIVINGSTON UNION,California,2,22,233,2,6,1,1,–,33,227,2,13,1,–,1,22,253,1,11,–,–,†,†,†,†,†,†,†
LODI UNIFIED,California,11,495,1144,185,503,15,99,13,543,1014,196,518,28,68,8,481,965,180,569,16,80,20,538,1058,149,593,16,62
LOLETA UNION ELEMENTARY,California,5,–,9,–,14,2,5,4,–,4,–,5,–,2,3,–,6,–,6,–,2,–,–,1,–,6,–,–
LOMA PRIETA JOINT UNION ELEMENTARY,California,–,4,13,–,57,–,8,–,5,6,–,63,–,2,1,7,4,–,50,1,5,†,†,†,†,†,†,†
LOMPOC UNIFIED,California,5,22,532,25,165,2,29,4,26,494,24,158,2,36,3,24,464,28,190,2,23,4,27,533,26,197,4,28
LONE PINE UNIFIED,California,1,–,15,1,6,–,1,4,–,14,–,8,–,1,6,1,12,–,7,–,1,3,1,10,–,3,–,–
LONG BEACH UNIFIED,California,8,593,3315,747,771,100,266,9,631,3256,805,770,85,232,11,656,3089,799,798,92,200,8,710,3213,883,852,88,187
LONG BEACH UNIFIED ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
LOOMIS UNION ELEMENTARY,California,4,10,57,6,369,–,11,5,17,63,3,348,1,16,8,11,50,1,354,–,17,–,2,14,1,50,–,5
LOS ALAMITOS UNIFIED,California,4,140,200,16,352,5,52,1,117,201,21,390,3,57,1,136,216,22,427,5,35,2,119,197,39,375,3,55
LOS ALTOS ELEMENTARY,California,–,174,41,2,261,–,56,2,189,39,4,280,–,57,–,185,51,2,295,1,54,†,†,†,†,†,†,†
LOS ANGELES COUNTY OFFICE OF EDUCATION,California,–,12,361,96,31,–,5,–,7,281,46,26,1,18,1,9,287,86,28,–,6,5,54,570,153,83,–,29
LOS ANGELES COUNTY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0",="0",="0",="0",="0",="0",="0"
LOS ANGELES UNIFIED,California,139,2566,35259,3874,4380,147,701,111,2596,34634,3851,4298,150,580,95,2891,34229,3788,4269,122,509,135,2798,39672,4373,3954,134,569
LOS ANGELES UNIFIED ROCP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
LOS BANOS UNIFIED,California,5,13,668,19,108,9,9,4,9,674,16,107,6,9,4,13,696,22,110,8,4,4,22,665,16,101,6,6
LOS GATOS UNION ELEMENTARY,California,3,78,34,–,294,1,14,8,91,29,2,302,–,13,5,83,35,4,304,1,7,†,†,†,†,†,†,†
LOS GATOS-SARATOGA JOINT UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,–,281,59,5,427,1,106
LOS MOLINOS UNIFIED,California,–,–,22,–,18,–,2,2,–,24,–,19,–,3,–,1,15,–,23,–,1,–,3,32,–,26,–,1
LOS NIETOS,California,–,2,180,–,3,2,1,–,1,148,1,3,1,–,–,1,172,2,3,–,3,†,†,†,†,†,†,†
LOS OLIVOS ELEMENTARY,California,–,–,2,–,11,–,1,–,–,3,–,12,–,–,–,1,6,–,18,–,2,†,†,†,†,†,†,†
LOST HILLS UNION ELEMENTARY,California,–,1,55,1,–,–,–,–,–,65,–,–,–,–,–,–,50,1,–,–,–,†,†,†,†,†,†,†
LOWELL JOINT,California,–,17,227,8,85,2,2,–,9,251,6,91,2,10,1,14,264,7,125,1,10,†,†,†,†,†,†,†
LUCERNE ELEMENTARY,California,1,–,14,1,13,–,2,1,–,4,–,17,–,1,1,1,6,–,17,–,2,†,†,†,†,†,†,†
LUCERNE VALLEY UNIFIED,California,2,10,86,5,137,–,35,3,21,61,12,112,1,17,–,12,68,9,103,1,19,1,5,58,8,64,–,14
LUCIA MAR UNIFIED,California,5,23,344,9,372,–,21,5,25,361,7,411,4,21,3,21,338,12,378,2,24,5,32,352,4,413,2,26
LUTHER BURBANK,California,–,2,59,1,–,–,–,–,–,46,3,–,–,–,–,–,53,1,3,–,–,†,†,†,†,†,†,†
LYNWOOD UNIFIED,California,–,1,1118,43,4,3,–,–,–,1013,55,2,6,–,–,4,965,48,6,1,–,–,2,994,59,6,1,1
MADERA COUNTY SUPERINTENDENT OF SCHOOLS,California,–,–,19,–,3,–,1,–,–,30,–,11,–,1,–,–,40,1,10,–,1,2,–,44,–,13,–,–
MADERA UNIFIED,California,10,27,1450,21,116,–,22,4,16,1504,30,92,–,11,4,17,1392,26,92,2,9,8,15,1364,33,106,1,9
MAGNOLIA ELEMENTARY,California,5,129,609,27,82,12,12,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
MAGNOLIA UNION ELEMENTARY,California,–,–,9,–,9,–,–,–,1,6,–,9,–,–,–,–,4,–,11,–,–,†,†,†,†,†,†,†
MAMMOTH UNIFIED,California,–,2,57,–,34,1,–,–,–,48,–,42,–,–,–,3,52,–,36,1,4,–,1,51,–,46,–,–
MANCHESTER UNION ELEMENTARY,California,–,–,5,–,1,–,–,–,–,3,–,–,–,–,–,–,3,–,2,–,–,†,†,†,†,†,†,†
MANHATTAN BEACH UNIFIED,California,1,48,52,3,311,1,75,–,63,46,2,309,–,58,1,52,58,5,315,–,75,3,62,105,12,442,3,80
MANTECA UNIFIED,California,7,219,1042,137,361,10,71,7,243,885,129,357,20,57,8,277,970,134,354,23,38,13,275,1023,136,354,18,48
MANZANITA ELEMENTARY,California,1,1,15,–,21,–,1,–,3,12,–,12,–,2,1,1,10,–,13,–,–,†,†,†,†,†,†,†
MAPLE CREEK ELEMENTARY,California,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",–,–,–,1,2,–,–,†,†,†,†,†,†,†
MAPLE ELEMENTARY,California,–,–,20,–,14,–,–,–,–,22,–,9,–,–,–,–,16,–,17,–,–,†,†,†,†,†,†,†
MARCUM-ILLINOIS UNION ELEMENTARY,California,3,14,38,5,133,3,24,4,3,33,5,151,1,23,3,9,28,2,144,2,23,–,6,20,4,102,–,20
MARICOPA UNIFIED,California,3,10,85,16,170,1,18,2,8,110,21,173,2,21,1,6,79,19,143,–,16,1,7,66,29,109,1,18
MARIN COUNTY OFFICE OF EDUCATION,California,–,–,2,–,3,–,1,–,–,2,–,4,–,–,–,5,6,–,7,–,1,1,–,8,1,8,–,3
MARIN COUNTY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0",="0",="0",="0",="0",="0",="0"
MARIN PUPIL TRANSPORTATION AGENCY JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
